No.,DOB,Age, Fund Value , Salary , Contributions ,EE, ER , Years ,Retirement age
609,8/5/1979,47.00," 310,693.75 "," 79,626.00 "," 19,110.24 ",8%,16%,13.00,60
610,1/1/1980,46.00," 215,826.25 "," 67,526.00 "," 16,206.24 ",8%,16%,14.00,60
611,1/1/1980,46.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
612,12/27/1983,43.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,17.00,60
613,1/1/1980,46.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
614,1/1/1980,46.00," 418,585.28 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
615,1/1/1980,46.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,14.00,60
616,1/10/1985,41.00," 797,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,19.00,60
617,1/4/1990,36.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,24.00,60
618,12/12/1991,35.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,25.00,60
619,12/4/1992,34.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,26.00,60
620,9/27/1992,34.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,26.00,60
621,1/25/1991,35.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,25.00,60
622,10/12/1992,34.00," 756,038.90 "," 171,833.00 "," 41,239.92 ",8%,16%,26.00,60
623,1/1/1980,46.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,14.00,60
624,9/30/1992,34.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,26.00,60
625,10/8/1986,40.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,20.00,60
626,1/1/1980,46.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,14.00,60
627,1/1/1980,46.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
628,5/25/1984,42.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,18.00,60
629,1/1/1980,46.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
630,1/1/1980,46.00," 1,480,052.18 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
631,1/1/1980,46.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
632,1/1/1980,46.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
633,1/1/1980,46.00," 1,538,806.23 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
634,1/1/1980,46.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
635,1/1/1980,46.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,14.00,60
636,1/1/1980,46.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
637,1/1/1987,39.00," 777,079.24 "," 171,833.00 "," 41,239.92 ",8%,16%,21.00,60
638,1/1/1980,46.00," 1,118,304.13 "," 250,797.00 "," 60,191.28 ",8%,16%,14.00,60
639,9/20/1977,49.00," 1,978,575.24 "," 338,595.00 "," 81,262.80 ",8%,16%,11.00,60
640,1/1/1980,46.00," 392,603.18 "," 86,067.00 "," 20,656.08 ",8%,16%,14.00,60
641,6/28/1987,39.00," 1,118,304.13 "," 250,797.00 "," 60,191.28 ",8%,16%,21.00,60
642,10/7/1984,42.00," 1,583,578.57 "," 338,595.00 "," 81,262.80 ",8%,16%,18.00,60
643,9/4/1978,48.00," 276,347.57 "," 86,067.00 "," 20,656.08 ",8%,16%,12.00,60
644,9/1/1987,39.00," 521,318.60 "," 161,555.00 "," 38,773.20 ",8%,16%,21.00,60
645,6/6/1974,52.00," 51,273.12 "," 33,944.00 "," 8,146.56 ",8%,16%,8.00,60
646,2/7/1984,42.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,18.00,60
647,2/18/1984,42.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,18.00,60
648,8/14/1979,47.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,13.00,60
649,8/15/1967,59.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,1.00,60
650,9/29/1989,37.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,23.00,60
651,5/6/1976,50.00," 58,001.04 "," 37,648.00 "," 9,035.52 ",8%,16%,10.00,60
652,9/3/1987,39.00," 96,010.44 "," 62,428.00 "," 14,982.72 ",8%,16%,21.00,60
653,12/12/1980,46.00," 96,010.44 "," 62,428.00 "," 14,982.72 ",8%,16%,14.00,60
654,9/3/1993,33.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,27.00,60
655,11/20/1999,27.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,33.00,60
656,8/29/1998,28.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,32.00,60
657,1/10/1986,40.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,20.00,60
658,2/20/1983,43.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,17.00,60
659,10/2/1994,32.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,28.00,60
660,1/4/1991,35.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,25.00,60
661,8/26/1993,33.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,27.00,60
662,4/30/1991,35.00," 124,050.48 "," 79,626.00 "," 19,110.24 ",8%,16%,25.00,60
663,9/20/1987,39.00," 129,902.16 "," 86,067.00 "," 20,656.08 ",8%,16%,21.00,60
664,5/1/1981,45.00," 135,422.16 "," 86,067.00 "," 20,656.08 ",8%,16%,15.00,60
665,4/12/1989,37.00," 193,991.76 "," 123,712.00 "," 29,690.88 ",8%,16%,23.00,60
666,2/4/1994,32.00," 193,991.76 "," 123,712.00 "," 29,690.88 ",8%,16%,28.00,60
667,8/8/1987,39.00," 210,591.60 "," 132,420.00 "," 31,780.80 ",8%,16%,21.00,60
668,5/4/1995,31.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,29.00,60
669,3/2/1993,33.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,27.00,60
670,8/7/1993,33.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,27.00,60
671,5/25/1987,39.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,21.00,60
672,2/26/1997,29.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,31.00,60
673,8/14/1996,30.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,30.00,60
674,6/23/1982,44.00," 242,203.44 "," 151,278.00 "," 36,306.72 ",8%,16%,16.00,60
675,11/25/1981,45.00," 253,136.40 "," 162,555.00 "," 39,013.20 ",8%,16%,15.00,60
676,11/10/1992,34.00," 284,136.40 "," 162,555.00 "," 39,013.20 ",8%,16%,26.00,60
677,1/1/1979,47.00," 318,068.04 "," 193,848.00 "," 46,523.52 ",8%,16%,13.00,60
678,4/30/1989,37.00," 318,068.04 "," 193,848.00 "," 46,523.52 ",8%,16%,23.00,60
679,3/5/1979,47.00," 318,068.04 "," 193,848.00 "," 46,523.52 ",8%,16%,13.00,60
680,4/21/1985,41.00," 318,068.04 "," 193,848.00 "," 46,523.52 ",8%,16%,19.00,60
681,3/16/1988,38.00," 365,948.76 "," 223,737.00 "," 53,696.88 ",8%,16%,22.00,60
682,8/21/1999,27.00," 83,084.64 "," 79,626.00 "," 19,110.24 ",8%,16%,33.00,60
683,11/3/1981,45.00," 242,001.36 "," 250,797.00 "," 60,191.28 ",8%,16%,15.00,60
684,3/18/1991,35.00," 171,171.60 "," 204,167.00 "," 49,000.08 ",8%,16%,25.00,60
685,11/14/1968,58.00," 6,526,351.69 "," 393,300.00 "," 88,492.50 ",7.50%,15%,2.00,60
686,3/6/1973,53.00," 12,329,232.34 "," 337,300.00 "," 75,892.50 ",7.50%,15%,7.00,60
687,4/27/1969,57.00," 8,601,746.79 "," 393,300.00 "," 88,492.50 ",7.50%,15%,3.00,60
688,1/1/1976,50.00," 2,563,453.94 "," 80,000.00 "," 18,000.00 ",7.50%,15%,10.00,60
689,12/25/1967,59.00," 11,337,117.94 "," 378,300.00 "," 85,117.50 ",7.50%,15%,1.00,60
690,12/26/1977,49.00," 5,042,588.92 "," 111,500.00 "," 25,087.50 ",7.50%,15%,11.00,60
691,6/16/1986,40.00," 4,804,850.84 "," 111,500.00 "," 25,087.50 ",7.50%,15%,20.00,60
692,5/22/1987,39.00," 3,381,182.64 "," 80,000.00 "," 18,000.00 ",7.50%,15%,21.00,60
693,11/27/1980,46.00," 5,017,275.82 "," 111,500.00 "," 25,087.50 ",7.50%,15%,14.00,60
694,12/12/1984,42.00," 6,709,760.55 "," 239,400.00 "," 53,865.00 ",7.50%,15%,18.00,60
695,5/10/1985,41.00," 4,868,997.17 "," 111,500.00 "," 25,087.50 ",7.50%,15%,19.00,60
696,11/2/1989,37.00," 6,740,639.36 "," 239,400.00 "," 53,865.00 ",7.50%,15%,23.00,60
697,9/2/1972,54.00," 6,916,972.29 "," 393,300.00 "," 88,492.50 ",7.50%,15%,6.00,60
698,10/23/1971,55.00," 7,925,165.62 "," 393,300.00 "," 88,492.50 ",7.50%,15%,5.00,60
699,11/6/1972,54.00," 6,819,023.82 "," 393,300.00 "," 88,492.50 ",7.50%,15%,6.00,60
700,7/7/1973,53.00," 10,076,760.52 "," 284,300.00 "," 63,967.50 ",7.50%,15%,7.00,60
701,1/10/1971,55.00," 14,084,021.80 "," 326,300.00 "," 73,417.50 ",7.50%,15%,5.00,60
702,12/15/1967,59.00," 13,934,465.09 "," 411,000.00 "," 92,475.00 ",7.50%,15%,1.00,60
703,5/7/1976,50.00," 13,801,655.06 "," 326,300.00 "," 73,417.50 ",7.50%,15%,10.00,60
704,10/22/1980,46.00," 11,439,129.28 "," 274,300.00 "," 61,717.50 ",7.50%,15%,14.00,60
705,8/16/1972,54.00," 11,423,000.16 "," 274,300.00 "," 61,717.50 ",7.50%,15%,6.00,60
706,3/3/1972,54.00," 16,817,457.77 "," 274,300.00 "," 61,717.50 ",7.50%,15%,6.00,60
707,10/1/1969,57.00," 11,434,525.64 "," 274,300.00 "," 61,717.50 ",7.50%,15%,3.00,60
708,9/25/1967,59.00," 11,444,342.46 "," 274,300.00 "," 61,717.50 ",7.50%,15%,1.00,60
709,9/6/1979,47.00," 11,433,178.44 "," 274,300.00 "," 61,717.50 ",7.50%,15%,13.00,60
710,7/3/1983,43.00," 12,674,223.77 "," 326,300.00 "," 73,417.50 ",7.50%,15%,17.00,60
711,7/21/1970,56.00," 11,425,534.56 "," 274,300.00 "," 61,717.50 ",7.50%,15%,4.00,60
712,6/4/1978,48.00," 11,422,253.09 "," 274,300.00 "," 61,717.50 ",7.50%,15%,12.00,60
713,3/13/1976,50.00," 11,424,802.12 "," 274,300.00 "," 61,717.50 ",7.50%,15%,10.00,60
714,12/14/1967,59.00," 12,823,879.66 "," 326,300.00 "," 73,417.50 ",7.50%,15%,1.00,60
715,8/31/1982,44.00," 6,301,564.98 "," 149,500.00 "," 33,637.50 ",7.50%,15%,16.00,60
716,1/1/1978,48.00," 6,730,337.30 "," 239,400.00 "," 53,865.00 ",7.50%,15%,12.00,60
717,8/3/1974,52.00," 4,848,345.41 "," 105,500.00 "," 23,737.50 ",7.50%,15%,8.00,60
718,2/3/1985,41.00," 4,871,202.90 "," 111,500.00 "," 25,087.50 ",7.50%,15%,19.00,60
719,8/20/1977,49.00," 4,871,768.09 "," 111,500.00 "," 25,087.50 ",7.50%,15%,11.00,60
720,12/9/1979,47.00," 4,870,936.48 "," 111,500.00 "," 25,087.50 ",7.50%,15%,13.00,60
721,11/24/1975,51.00," 4,880,768.09 "," 124,833.33 "," 28,087.50 ",7.50%,15%,9.00,60
722,10/10/1983,43.00," 6,730,085.29 "," 239,400.00 "," 53,865.00 ",7.50%,15%,17.00,60
723,4/10/1975,51.00," 4,874,530.16 "," 111,500.00 "," 25,087.50 ",7.50%,15%,9.00,60
724,8/6/1982,44.00," 4,868,388.84 "," 111,500.00 "," 25,087.50 ",7.50%,15%,16.00,60
725,10/12/1978,48.00," 6,730,337.30 "," 239,400.00 "," 53,865.00 ",7.50%,15%,12.00,60
726,10/29/1980,46.00," 9,219,987.30 "," 274,300.00 "," 61,717.50 ",7.50%,15%,14.00,60
727,7/21/1981,45.00," 6,718,266.54 "," 239,400.00 "," 53,865.00 ",7.50%,15%,15.00,60
728,5/6/1967,59.00," 4,872,798.71 "," 111,500.00 "," 25,087.50 ",7.50%,15%,1.00,60
729,12/15/1975,51.00," 4,870,737.93 "," 111,500.00 "," 25,087.50 ",7.50%,15%,9.00,60
730,11/23/1973,53.00," 5,203,530.99 "," 258,833.33 "," 58,237.50 ",7.50%,15%,7.00,60
731,4/5/1967,59.00," 4,818,669.98 "," 105,500.00 "," 23,737.50 ",7.50%,15%,1.00,60
732,8/26/1972,54.00," 9,675,101.06 "," 274,300.00 "," 61,717.50 ",7.50%,15%,6.00,60
733,6/2/1969,57.00," 6,731,390.22 "," 239,400.00 "," 53,865.00 ",7.50%,15%,3.00,60
734,1/14/1973,53.00," 4,740,411.76 "," 111,500.00 "," 25,087.50 ",7.50%,15%,7.00,60
735,2/7/1972,54.00," 6,726,822.51 "," 239,400.00 "," 53,865.00 ",7.50%,15%,6.00,60
736,7/13/1972,54.00," 9,035,811.82 "," 274,300.00 "," 61,717.50 ",7.50%,15%,6.00,60
737,1/1/1972,54.00," 4,740,188.54 "," 117,500.00 "," 26,437.50 ",7.50%,15%,6.00,60
738,8/20/1973,53.00," 6,676,868.47 "," 239,400.00 "," 53,865.00 ",7.50%,15%,7.00,60
739,8/20/1980,46.00," 4,834,984.32 "," 111,500.00 "," 25,087.50 ",7.50%,15%,14.00,60
740,1/1/1970,56.00," 11,345,256.66 "," 274,300.00 "," 61,717.50 ",7.50%,15%,4.00,60
741,1/1/1983,43.00," 4,801,118.86 "," 111,500.00 "," 25,087.50 ",7.50%,15%,17.00,60
742,12/15/1975,51.00," 4,174,122.78 "," 105,500.00 "," 23,737.50 ",7.50%,15%,9.00,60
743,3/20/1975,51.00," 10,955,906.58 "," 393,300.00 "," 88,492.50 ",7.50%,15%,9.00,60
744,1/13/1971,55.00," 4,488,591.26 "," 105,500.00 "," 23,737.50 ",7.50%,15%,5.00,60
745,6/27/1984,42.00," 4,543,979.69 "," 117,500.00 "," 26,437.50 ",7.50%,15%,18.00,60
746,5/25/1974,52.00," 4,683,054.37 "," 111,500.00 "," 25,087.50 ",7.50%,15%,8.00,60
747,3/3/1982,44.00," 4,704,577.86 "," 111,500.00 "," 25,087.50 ",7.50%,15%,16.00,60
748,12/13/1972,54.00," 4,588,279.89 "," 111,500.00 "," 25,087.50 ",7.50%,15%,6.00,60
749,1/1/1983,43.00," 4,699,681.91 "," 111,500.00 "," 25,087.50 ",7.50%,15%,17.00,60
750,10/19/1987,39.00," 4,612,504.89 "," 105,500.00 "," 23,737.50 ",7.50%,15%,21.00,60
751,1/1/1974,52.00," 3,069,602.42 "," 80,000.00 "," 18,000.00 ",7.50%,15%,8.00,60
752,8/1/1974,52.00," 4,101,326.34 "," 105,500.00 "," 23,737.50 ",7.50%,15%,8.00,60
753,8/20/1969,57.00," 5,947,708.49 "," 149,500.00 "," 33,637.50 ",7.50%,15%,3.00,60
754,9/15/1970,56.00," 4,647,013.43 "," 125,500.00 "," 28,237.50 ",7.50%,15%,4.00,60
755,9/28/1974,52.00," 6,817,201.49 "," 393,300.00 "," 88,492.50 ",7.50%,15%,8.00,60
756,6/3/1981,45.00," 4,459,287.56 "," 141,500.00 "," 31,837.50 ",7.50%,15%,15.00,60
757,1/8/1979,47.00," 4,481,772.45 "," 141,500.00 "," 31,837.50 ",7.50%,15%,13.00,60
758,12/12/1967,59.00," 4,486,709.80 "," 141,500.00 "," 31,837.50 ",7.50%,15%,1.00,60
759,5/8/1968,58.00," 4,627,071.22 "," 157,600.00 "," 35,460.00 ",7.50%,15%,2.00,60
760,11/10/1976,50.00," 7,206,488.88 "," 239,400.00 "," 53,865.00 ",7.50%,15%,10.00,60
761,3/1/1978,48.00," 6,497,796.76 "," 411,300.00 "," 92,542.50 ",7.50%,15%,12.00,60
762,7/22/1975,51.00," 7,403,167.22 "," 247,700.00 "," 55,732.50 ",7.50%,15%,9.00,60
763,9/25/1977,49.00," 6,911,554.54 "," 206,400.00 "," 46,440.00 ",7.50%,15%,11.00,60
764,10/12/1969,57.00," 4,596,549.59 "," 141,500.00 "," 31,837.50 ",7.50%,15%,3.00,60
765,11/24/1974,52.00," 9,689,936.33 "," 315,300.00 "," 70,942.50 ",7.50%,15%,8.00,60
766,2/26/1969,57.00," 4,349,471.93 "," 141,500.00 "," 31,837.50 ",7.50%,15%,3.00,60
767,9/15/1975,51.00," 12,177,166.17 "," 393,300.00 "," 88,492.50 ",7.50%,15%,9.00,60
768,11/26/1976,50.00," 10,339,904.93 "," 326,300.00 "," 73,417.50 ",7.50%,15%,10.00,60
769,2/9/1977,49.00," 5,480,761.98 "," 393,300.00 "," 88,492.50 ",7.50%,15%,11.00,60
770,5/5/1971,55.00," 2,882,477.33 "," 105,500.00 "," 23,737.50 ",7.50%,15%,5.00,60
771,1/7/1967,59.00," 4,491,914.52 "," 141,500.00 "," 31,837.50 ",7.50%,15%,1.00,60
772,1/16/1969,57.00," 7,010,670.32 "," 206,400.00 "," 46,440.00 ",7.50%,15%,3.00,60
773,1/7/1972,54.00," 9,207,329.41 "," 315,300.00 "," 70,942.50 ",7.50%,15%,6.00,60
774,12/12/1968,58.00," 4,492,270.09 "," 141,500.00 "," 31,837.50 ",7.50%,15%,2.00,60
775,5/15/1978,48.00," 9,818,780.83 "," 337,300.00 "," 75,892.50 ",7.50%,15%,12.00,60
776,8/29/1978,48.00," 4,463,208.47 "," 141,500.00 "," 31,837.50 ",7.50%,15%,12.00,60
777,8/29/1978,48.00," 6,881,778.53 "," 198,200.00 "," 44,595.00 ",7.50%,15%,12.00,60
778,1/1/1967,59.00," 4,803,253.21 "," 216,166.67 "," 48,637.50 ",7.50%,15%,1.00,60
779,9/8/1983,43.00," 8,443,759.37 "," 284,300.00 "," 63,967.50 ",7.50%,15%,17.00,60
780,9/20/1981,45.00," 6,984,533.63 "," 315,300.00 "," 70,942.50 ",7.50%,15%,15.00,60
781,8/1/1982,44.00," 7,509,994.94 "," 315,300.00 "," 70,942.50 ",7.50%,15%,16.00,60
782,5/6/1981,45.00," 6,979,718.69 "," 247,700.00 "," 55,732.50 ",7.50%,15%,15.00,60
783,5/17/1979,47.00," 8,434,394.42 "," 274,300.00 "," 61,717.50 ",7.50%,15%,13.00,60
784,5/5/1967,59.00," 2,934,589.72 "," 105,500.00 "," 23,737.50 ",7.50%,15%,1.00,60
785,11/4/1972,54.00," 7,227,143.15 "," 214,600.00 "," 48,285.00 ",7.50%,15%,6.00,60
786,6/1/1972,54.00," 10,203,000.32 "," 304,300.00 "," 68,467.50 ",7.50%,15%,6.00,60
787,2/7/1973,53.00," 3,507,515.52 "," 111,500.00 "," 25,087.50 ",7.50%,15%,7.00,60
788,10/25/1978,48.00," 2,887,954.88 "," 105,500.00 "," 23,737.50 ",7.50%,15%,12.00,60
789,2/22/1969,57.00," 2,491,517.98 "," 80,000.00 "," 18,000.00 ",7.50%,15%,3.00,60
790,6/21/1986,40.00," 4,023,856.80 "," 105,500.00 "," 23,737.50 ",7.50%,15%,20.00,60
791,1/2/1977,49.00," 3,654,397.27 "," 105,500.00 "," 23,737.50 ",7.50%,15%,11.00,60
792,1/1/1976,50.00," 3,105,297.05 "," 84,500.00 "," 19,012.50 ",7.50%,15%,10.00,60
793,2/18/1974,52.00," 3,490,540.35 "," 105,500.00 "," 23,737.50 ",7.50%,15%,8.00,60
794,1/1/1974,52.00," 3,405,702.14 "," 105,500.00 "," 23,737.50 ",7.50%,15%,8.00,60
795,10/23/1978,48.00," 7,005,218.01 "," 239,400.00 "," 53,865.00 ",7.50%,15%,12.00,60
796,5/20/1974,52.00," 12,318,881.71 "," 284,300.00 "," 63,967.50 ",7.50%,15%,8.00,60
797,1/1/1972,54.00," 9,613,956.59 "," 393,300.00 "," 88,492.50 ",7.50%,15%,6.00,60
798,2/20/1969,57.00," 8,115,544.29 "," 393,300.00 "," 88,492.50 ",7.50%,15%,3.00,60
799,12/2/1971,55.00," 4,434,172.46 "," 141,500.00 "," 31,837.50 ",7.50%,15%,5.00,60
800,9/9/1970,56.00," 4,435,898.05 "," 141,500.00 "," 31,837.50 ",7.50%,15%,4.00,60
801,8/5/1983,43.00," 10,797,739.76 "," 326,300.00 "," 73,417.50 ",7.50%,15%,17.00,60
802,1/9/1976,50.00," 7,463,233.14 "," 393,300.00 "," 88,492.50 ",7.50%,15%,10.00,60
803,2/19/1982,44.00," 7,591,227.16 "," 393,300.00 "," 88,492.50 ",7.50%,15%,16.00,60
804,12/29/1982,44.00," 11,536,920.44 "," 326,300.00 "," 73,417.50 ",7.50%,15%,16.00,60
805,10/28/1980,46.00," 11,528,248.98 "," 326,300.00 "," 73,417.50 ",7.50%,15%,14.00,60
806,1/1/1975,51.00," 9,073,562.99 "," 348,300.00 "," 78,367.50 ",7.50%,15%,9.00,60
807,1/21/1981,45.00," 11,510,319.38 "," 326,300.00 "," 73,417.50 ",7.50%,15%,15.00,60
808,1/1/1973,53.00," 11,669,453.67 "," 315,300.00 "," 70,942.50 ",7.50%,15%,7.00,60
809,3/2/1979,47.00," 10,385,597.12 "," 337,300.00 "," 75,892.50 ",7.50%,15%,13.00,60
810,3/3/1982,44.00," 11,542,451.36 "," 326,300.00 "," 73,417.50 ",7.50%,15%,16.00,60
811,10/29/1980,46.00," 11,321,176.54 "," 315,300.00 "," 70,942.50 ",7.50%,15%,14.00,60
812,11/28/1985,41.00," 9,809,259.14 "," 284,300.00 "," 63,967.50 ",7.50%,15%,19.00,60
813,9/12/1984,42.00," 8,095,568.13 "," 247,700.00 "," 55,732.50 ",7.50%,15%,18.00,60
814,12/14/1984,42.00," 10,083,696.48 "," 417,633.33 "," 93,967.50 ",7.50%,15%,18.00,60
815,7/22/1981,45.00," 9,825,406.43 "," 284,300.00 "," 63,967.50 ",7.50%,15%,15.00,60
816,6/27/1984,42.00," 9,526,187.25 "," 284,300.00 "," 63,967.50 ",7.50%,15%,18.00,60
817,1/25/1983,43.00," 9,803,015.12 "," 284,300.00 "," 63,967.50 ",7.50%,15%,17.00,60
818,12/13/1982,44.00," 9,514,039.63 "," 274,300.00 "," 61,717.50 ",7.50%,15%,16.00,60
819,9/26/1983,43.00," 9,719,854.49 "," 274,300.00 "," 61,717.50 ",7.50%,15%,17.00,60
820,12/7/1984,42.00," 9,263,704.91 "," 274,300.00 "," 61,717.50 ",7.50%,15%,18.00,60
821,11/3/1982,44.00," 6,991,101.22 "," 181,900.00 "," 40,927.50 ",7.50%,15%,16.00,60
822,10/1/1984,42.00," 9,511,285.64 "," 284,300.00 "," 63,967.50 ",7.50%,15%,18.00,60
823,8/26/1983,43.00," 9,746,685.45 "," 284,300.00 "," 63,967.50 ",7.50%,15%,17.00,60
824,6/21/1979,47.00," 7,414,559.84 "," 393,300.00 "," 88,492.50 ",7.50%,15%,13.00,60
825,1/1/1977,49.00," 10,341,931.48 "," 284,300.00 "," 63,967.50 ",7.50%,15%,11.00,60
826,1/1/1977,49.00," 8,399,167.11 "," 274,300.00 "," 61,717.50 ",7.50%,15%,11.00,60
827,9/29/1980,46.00," 10,199,562.35 "," 274,300.00 "," 61,717.50 ",7.50%,15%,14.00,60
828,11/18/1983,43.00," 9,666,782.11 "," 274,300.00 "," 61,717.50 ",7.50%,15%,17.00,60
829,10/5/1981,45.00," 12,314,658.91 "," 326,300.00 "," 73,417.50 ",7.50%,15%,15.00,60
830,1/1/1979,47.00," 11,030,314.71 "," 337,300.00 "," 75,892.50 ",7.50%,15%,13.00,60
831,12/12/1981,45.00," 10,698,733.54 "," 337,300.00 "," 75,892.50 ",7.50%,15%,15.00,60
832,3/7/1985,41.00," 3,754,064.57 "," 55,750.00 "," 12,543.75 ",7.50%,15%,19.00,60
833,12/5/1982,44.00," 9,022,292.36 "," 274,300.00 "," 61,717.50 ",7.50%,15%,16.00,60
834,2/20/1970,56.00," 4,483,444.98 "," 149,500.00 "," 33,637.50 ",7.50%,15%,4.00,60
835,4/6/1980,46.00," 4,463,095.50 "," 141,500.00 "," 31,837.50 ",7.50%,15%,14.00,60
836,10/29/1969,57.00," 2,406,006.90 "," 84,500.00 "," 19,012.50 ",7.50%,15%,3.00,60
837,1/1/1981,45.00," 5,925,363.49 "," 231,100.00 "," 51,997.50 ",7.50%,15%,15.00,60
838,1/1/1987,39.00," 4,083,790.19 "," 111,500.00 "," 25,087.50 ",7.50%,15%,21.00,60
839,12/20/1985,41.00," 9,945,303.38 "," 274,300.00 "," 61,717.50 ",7.50%,15%,19.00,60
840,7/31/1979,47.00," 6,001,189.13 "," 256,000.00 "," 57,600.00 ",7.50%,15%,13.00,60
841,6/7/1980,46.00," 4,099,245.37 "," 117,500.00 "," 26,437.50 ",7.50%,15%,14.00,60
842,6/15/1985,41.00," 5,945,170.73 "," 239,400.00 "," 53,865.00 ",7.50%,15%,19.00,60
843,9/9/1981,45.00," 4,086,667.72 "," 111,500.00 "," 25,087.50 ",7.50%,15%,15.00,60
844,8/12/1982,44.00," 5,949,097.54 "," 239,400.00 "," 53,865.00 ",7.50%,15%,16.00,60
845,1/1/1984,42.00," 4,183,618.48 "," 111,500.00 "," 25,087.50 ",7.50%,15%,18.00,60
846,7/20/1981,45.00," 10,454,160.87 "," 274,300.00 "," 61,717.50 ",7.50%,15%,15.00,60
847,2/25/1981,45.00," 9,868,322.16 "," 274,300.00 "," 61,717.50 ",7.50%,15%,15.00,60
848,5/4/1980,46.00," 9,885,712.10 "," 274,300.00 "," 61,717.50 ",7.50%,15%,14.00,60
849,1/1/1974,52.00," 9,883,656.51 "," 274,300.00 "," 61,717.50 ",7.50%,15%,8.00,60
850,3/1/1979,47.00," 3,969,572.80 "," 111,500.00 "," 25,087.50 ",7.50%,15%,13.00,60
851,5/25/1978,48.00," 8,411,621.28 "," 274,300.00 "," 61,717.50 ",7.50%,15%,12.00,60
852,12/4/1967,59.00," 3,094,076.83 "," 105,500.00 "," 23,737.50 ",7.50%,15%,1.00,60
853,5/25/1968,58.00," 2,651,948.69 "," 80,000.00 "," 18,000.00 ",7.50%,15%,2.00,60
854,7/7/1973,53.00," 2,622,461.17 "," 80,000.00 "," 18,000.00 ",7.50%,15%,7.00,60
855,9/18/1978,48.00," 2,647,155.73 "," 80,000.00 "," 18,000.00 ",7.50%,15%,12.00,60
856,1/1/1979,47.00," 2,643,214.96 "," 80,000.00 "," 18,000.00 ",7.50%,15%,13.00,60
857,3/24/1980,46.00," 12,231,588.70 "," 326,300.00 "," 73,417.50 ",7.50%,15%,14.00,60
858,5/18/1967,59.00," 7,703,241.42 "," 348,300.00 "," 78,367.50 ",7.50%,15%,1.00,60
859,7/28/1978,48.00," 8,077,252.06 "," 247,700.00 "," 55,732.50 ",7.50%,15%,12.00,60
860,1/1/1977,49.00," 8,061,301.56 "," 247,700.00 "," 55,732.50 ",7.50%,15%,11.00,60
861,1/1/1977,49.00," 8,766,715.02 "," 264,300.00 "," 59,467.50 ",7.50%,15%,11.00,60
862,9/16/1974,52.00," 4,590,395.84 "," 141,500.00 "," 31,837.50 ",7.50%,15%,8.00,60
